Date,WorkoutType,DistanceInMeters,Calories,TimeTotalInHours,HeartRateAverage
2022-03-13,Run,2.19,200.0,0.22777777777777777,147.0
2022-03-14,Run,2.36,216.0,0.31777777777777777,126.0
2022-03-15,Run,3.02,351.0,0.3661111111111111,162.0
2022-03-16,Run,3.56,439.0,0.5005555555555555,151.0
2022-03-19,Run,0.76,66.0,0.09355555555555556,138.0
2022-03-19,Run,1.83,179.0,0.20166666666666666,161.0
2022-03-20,Run,4.13,465.0,0.5788888888888889,146.0
2022-03-21,Run,2.77,292.0,0.35083333333333333,151.0
2022-03-22,Run,3.48,393.0,0.4697222222222222,151.0
2022-03-23,Run,3.42,367.0,0.4186111111111111,161.0
2022-03-27,Run,5.57,613.0,0.7722222222222223,153.0
2022-03-28,Run,1.62,155.0,0.21138888888888888,148.0
2022-03-31,Run,3.32,312.0,0.3605555555555556,164.0
2022-04-09,Run,3.22,291.0,0.465,139.0
2022-04-11,Run,6.44,656.0,0.7591666666666667,165.0
2022-04-12,Run,1.62,133.0,0.1827777777777778,153.0
2022-04-16,Run,3.22,269.0,0.3438888888888889,161.0
2022-04-16,Swim,300.0,96.0,0.08169444444444444,153.0
2022-04-17,Swim,1.7,472.0,0.26416666666666666,119.0
2022-04-17,Bike,10.0,293.0,0.3869444444444444,143.0
2022-04-18,Run,9.66,938.0,1.2336111111111112,159.0
2022-04-18,Swim,1.1,329.0,0.16469444444444445,136.0
2022-04-19,Run,3.22,317.0,0.42916666666666664,156.0
2022-04-21,Run,4.83,452.0,0.6311111111111111,156.0
2022-04-23,Run,10.46,955.0,1.3833333333333333,155.0
2022-04-23,Run,1.07,105.0,0.14802777777777776,155.0
2022-04-24,Swim,1.95,562.0,0.2772222222222222,145.0
2022-04-24,Bike,5.84,223.0,0.3711111111111111,130.0
2022-04-25,Run,4.02,335.0,0.4658333333333333,159.0
2022-04-28,Run,3.22,268.0,0.3522222222222222,158.0
2022-05-01,Bike,20.67,505.0,1.3166666666666667,121.0
2022-05-02,Run,3.22,246.0,0.31666666666666665,163.0
2022-05-03,Bike,8.19,298.0,0.7213888888888889,117.0
2022-05-04,Bike,20.53,631.0,1.0725,148.0
2022-05-04,Run,6.45,577.0,0.8966666666666666,149.0
2022-05-07,Bike,2.4,55.0,0.16916666666666666,101.0
2022-05-07,Run,8.0,692.0,0.9775,155.0
2022-05-07,Bike,2.5,100.0,0.1502777777777778,143.0
2022-05-09,Bike,2.69,117.0,0.2763888888888889,115.0
2022-05-09,Run,3.6,283.0,0.37722222222222224,161.0
2022-05-11,Bike,27.3,636.0,1.0605555555555555,145.0
2022-05-11,Run,1.53,251.0,0.5655555555555556,123.0
2022-05-11,Run,5.25,404.0,0.6202777777777778,155.0
2022-05-16,Run,0.45,122.0,0.24805555555555556,127.0
2022-05-18,Bike,15.0,345.0,0.5816666666666667,138.0
2022-05-18,Run,6.44,625.0,0.8597222222222223,159.0
2022-05-19,Bike,7.66,249.0,0.49277777777777776,125.0
